Run,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,source_name,SRA Study,tissue_source,gender,rin,Age,Extraction,sex
SRR306710,RNA-Seq,76,PRJNA143627,SAMN00632119,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081869,GSM752557,Illumina Genome Analyzer IIx,GSM752557: gga br F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1480,1134,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213961,GSM752557,Brain,SRP007412,"Facility of Linkoping University, Sweden",female,9.4,"~1 year\, adult",Rneasy Lipid,
SRR306711,RNA-Seq,76,PRJNA143627,SAMN00632120,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081870,GSM752558,Illumina Genome Analyzer IIx,GSM752558: gga br M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1334,990,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213962,GSM752558,Brain,SRP007412,"Facility of Linkoping University, Sweden",male,9.1,"~1 year\, adult",Standard,
SRR306712,RNA-Seq,76,PRJNA143627,SAMN00632121,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081871,GSM752559,Illumina Genome Analyzer IIx,GSM752559: gga cb F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1795,1339,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213963,GSM752559,Cerebellum,SRP007412,"Facility of Linkoping University, Sweden",female,9.6,"~1 year\, adult",Standard,
SRR306713,RNA-Seq,76,PRJNA143627,SAMN00632122,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081872,GSM752560,Illumina Genome Analyzer IIx,GSM752560: gga cb M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1670,1282,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213964,GSM752560,Cerebellum,SRP007412,"Facility of Linkoping University, Sweden",male,9.2,"~1 year\, adult",Rneasy Lipid,
SRR306714,RNA-Seq,76,PRJNA143627,SAMN00632123,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081873,GSM752561,Illumina Genome Analyzer IIx,GSM752561: gga ht F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1748,1302,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213965,GSM752561,Heart,SRP007412,"Facility of Linkoping University, Sweden",female,9,"~1 year\, adult",Standard,
SRR306715,RNA-Seq,76,PRJNA143627,SAMN00632124,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081874,GSM752562,Illumina Genome Analyzer IIx,GSM752562: gga ht M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1604,1221,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213966,GSM752562,Heart,SRP007412,"Facility of Linkoping University, Sweden",male,,"~1 year\, adult",Standard,
SRR306716,RNA-Seq,76,PRJNA143627,SAMN00632125,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081875,GSM752563,Illumina Genome Analyzer IIx,GSM752563: gga kd F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1749,1321,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213967,GSM752563,Kidney,SRP007412,"Facility of Linkoping University, Sweden",female,9.3,"~1 year\, adult",Standard,
SRR306717,RNA-Seq,76,PRJNA143627,SAMN00632126,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081876,GSM752564,Illumina Genome Analyzer IIx,GSM752564: gga kd M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1732,1290,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213968,GSM752564,Kidney,SRP007412,"Facility of Linkoping University, Sweden",male,9.1,"~1 year\, adult",Standard,
SRR306718,RNA-Seq,76,PRJNA143627,SAMN00632127,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081877,GSM752565,Illumina Genome Analyzer IIx,GSM752565: gga lv F 1,SINGLE,cDNA,TRANSCRIPTOMIC,2298,1728,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213969,GSM752565,Liver,SRP007412,"Facility of Linkoping University, Sweden",female,8.9,"~1 year\, adult",Standard,
SRR306719,RNA-Seq,76,PRJNA143627,SAMN00632128,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081878,GSM752566,Illumina Genome Analyzer IIx,GSM752566: gga lv M 1,SINGLE,cDNA,TRANSCRIPTOMIC,653,492,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213970,GSM752566,Liver,SRP007412,"Facility of Linkoping University, Sweden",male,9.2,"~1 year\, adult",Standard,
